trait1	trait2	n_species_overlap	phi	p_value
aerobic ammonia oxidation	reductive acetogenesis	119		
aerobic ammonia oxidation	acetate oxidation	578		
aerobic ammonia oxidation	lactate oxidation	565		
aerobic ammonia oxidation	alginate degradation	7		
aerobic ammonia oxidation	pectin degradation	95		
aerobic ammonia oxidation	collagen degradation	27		
aerobic ammonia oxidation	anaerobic chemoheterotrophy	1003		
aerobic ammonia oxidation	obligate anaerobes	1463		
aerobic ammonia oxidation	facultative anaerobes	1475		
aerobic ammonia oxidation	sulfur reduction	640		
aerobic nitrite oxidation	sulfate respiration	743		
aerobic nitrite oxidation	sulfur respiration	730		
aerobic nitrite oxidation	dark sulfite oxidation	133		
aerobic nitrite oxidation	sulfite respiration	732		
aerobic nitrite oxidation	thiosulfate respiration	818		
aerobic nitrite oxidation	respiration of sulfur compounds	761		
aerobic nitrite oxidation	arsenate detoxification	59		
aerobic nitrite oxidation	arsenate respiration	316		
aerobic nitrite oxidation	dissimilatory arsenate reduction	65		
aerobic nitrite oxidation	arsenite oxidation detoxification	88		
aerobic nitrite oxidation	arsenite oxidation energy yielding	318		
aerobic nitrite oxidation	dissimilatory arsenite oxidation	55		
aerobic nitrite oxidation	anammox	270		
aerobic nitrite oxidation	nitrate denitrification	801		
aerobic nitrite oxidation	nitrite denitrification	351		
aerobic nitrite oxidation	nitrous oxide denitrification	122		
aerobic nitrite oxidation	chitinolysis	79		
aerobic nitrite oxidation	knallgas bacteria	1431		
aerobic nitrite oxidation	dark hydrogen oxidation	617		
aerobic nitrite oxidation	nitrogen fixation	60		
aerobic nitrite oxidation	nitrate ammonification	143		
aerobic nitrite oxidation	nitrite ammonification	143		
aerobic nitrite oxidation	nitrite respiration	386		
aerobic nitrite oxidation	gelatin degradation	532		
aerobic nitrite oxidation	cellulolysis	146		
aerobic nitrite oxidation	xylanolysis	125		
aerobic nitrite oxidation	dark sulfide oxidation	102		
aerobic nitrite oxidation	dark sulfur oxidation	363		
aerobic nitrite oxidation	dark thiosulfate oxidation	359		
aerobic nitrite oxidation	dark oxidation of sulfur compounds	118		
aerobic nitrite oxidation	manganese oxidation	318		
aerobic nitrite oxidation	manganese respiration	287		
aerobic nitrite oxidation	ligninolysis	21		
aerobic nitrite oxidation	fermentation	1319		
aerobic nitrite oxidation	lactic acid fermentation	574		
aerobic nitrite oxidation	alcohol fermentation	496		
aerobic nitrite oxidation	aerobic chemoheterotrophy	1585		
aerobic nitrite oxidation	invertebrate parasites	2		
aerobic nitrite oxidation	human pathogens septicemia	0		
aerobic nitrite oxidation	human pathogens pneumonia	0		
aerobic nitrite oxidation	human pathogens nosocomia	0		
aerobic nitrite oxidation	human pathogens meningitis	0		
aerobic nitrite oxidation	human pathogens gastroenteritis	3		
aerobic nitrite oxidation	human pathogens diarrhea	3		
aerobic nitrite oxidation	human pathogens all	15		
aerobic nitrite oxidation	fish parasites	2		
aerobic nitrite oxidation	human gut	145		
aerobic nitrite oxidation	human associated	252		
aerobic nitrite oxidation	mammal gut	206		
aerobic nitrite oxidation	animal parasites or symbionts	232		
aerobic nitrite oxidation	plant pathogen	1		
aerobic nitrite oxidation	oil bioremediation	7		
aerobic nitrite oxidation	aromatic hydrocarbon degradation	16		
aerobic nitrite oxidation	aromatic compound degradation	45		
aerobic nitrite oxidation	aliphatic non methane hydrocarbon degradation	3		
aerobic nitrite oxidation	hydrocarbon degradation	15		
aerobic nitrite oxidation	dark iron oxidation	97		
aerobic nitrite oxidation	iron oxidation	86		
aerobic nitrite oxidation	iron respiration	410		
aerobic nitrite oxidation	nitrate respiration	885		
aerobic nitrite oxidation	nitrate reduction	818		
aerobic nitrite oxidation	nitrogen respiration	385		
aerobic nitrite oxidation	fumarate respiration	462		
aerobic nitrite oxidation	intracellular parasites	0		
aerobic nitrite oxidation	chlorate reducers	2		
aerobic nitrite oxidation	predatory or exoparasitic	1		
aerobic nitrite oxidation	anoxygenic photoautotrophy H2 oxidizing	423		
aerobic nitrite oxidation	anoxygenic photoautotrophy S oxidizing	438		
aerobic nitrite oxidation	anoxygenic photoautotrophy Fe oxidizing	397		
aerobic nitrite oxidation	anoxygenic photoautotrophy	444		
aerobic nitrite oxidation	oxygenic photoautotrophy	1735		
aerobic nitrite oxidation	photoautotrophy	452		
aerobic nitrite oxidation	aerobic anoxygenic phototrophy	1634		
aerobic nitrite oxidation	photoheterotrophy	411		
aerobic nitrite oxidation	phototrophy	441		
aerobic nitrite oxidation	plastic degradation	27		
aerobic nitrite oxidation	ureolysis	368		
aerobic nitrite oxidation	reductive acetogenesis	122		
aerobic nitrite oxidation	acetate oxidation	603		
aerobic nitrite oxidation	lactate oxidation	582		
aerobic nitrite oxidation	chemoheterotrophy	1457		
aerobic nitrite oxidation	alginate degradation	10		
aerobic nitrite oxidation	pectin degradation	98		
aerobic nitrite oxidation	collagen degradation	27		
aerobic nitrite oxidation	anaerobic chemoheterotrophy	1179		
aerobic nitrite oxidation	obligate anaerobes	1689		
aerobic nitrite oxidation	facultative anaerobes	1691		
aerobic nitrite oxidation	sulfur reduction	673		
nitrification	sulfate respiration	737		
nitrification	sulfur respiration	724		
nitrification	dark sulfite oxidation	76		
nitrification	sulfite respiration	730		
nitrification	thiosulfate respiration	816		
nitrification	respiration of sulfur compounds	760		
nitrification	arsenate detoxification	59		
nitrification	arsenate respiration	342		
nitrification	dissimilatory arsenate reduction	65		
nitrification	arsenite oxidation detoxification	50		
nitrification	arsenite oxidation energy yielding	262		
nitrification	dissimilatory arsenite oxidation	0		
nitrification	anammox	305		
nitrification	nitrate denitrification	811		
nitrification	nitrite denitrification	377		
nitrification	nitrous oxide denitrification	158		
nitrification	chitinolysis	83		
nitrification	knallgas bacteria	1424		
nitrification	dark hydrogen oxidation	560		
nitrification	nitrogen fixation	63		
nitrification	nitrate ammonification	172		
nitrification	nitrite ammonification	172		
nitrification	nitrite respiration	405		
nitrification	gelatin degradation	533		
nitrification	cellulolysis	144		
nitrification	xylanolysis	125		
nitrification	dark sulfide oxidation	45		
nitrification	dark sulfur oxidation	307		
nitrification	dark thiosulfate oxidation	301		
nitrification	dark oxidation of sulfur compounds	63		
nitrification	manganese oxidation	262		
nitrification	manganese respiration	313		
nitrification	ligninolysis	3		
nitrification	fermentation	1303		
nitrification	lactic acid fermentation	565		
nitrification	alcohol fermentation	528		
nitrification	aerobic chemoheterotrophy	1629		
nitrification	invertebrate parasites	2		
nitrification	human pathogens septicemia	0		
nitrification	human pathogens pneumonia	0		
nitrification	human pathogens nosocomia	0		
nitrification	human pathogens meningitis	0		
nitrification	human pathogens gastroenteritis	3		
nitrification	human pathogens diarrhea	3		
nitrification	human pathogens all	15		
nitrification	fish parasites	1		
nitrification	human gut	134		
nitrification	human associated	237		
nitrification	mammal gut	194		
nitrification	animal parasites or symbionts	220		
nitrification	plant pathogen	3		
nitrification	oil bioremediation	6		
nitrification	aromatic hydrocarbon degradation	16		
nitrification	aromatic compound degradation	46		
nitrification	aliphatic non methane hydrocarbon degradation	4		
nitrification	hydrocarbon degradation	15		
nitrification	dark iron oxidation	40		
nitrification	iron oxidation	27		
nitrification	iron respiration	433		
nitrification	nitrate respiration	891		
nitrification	nitrogen respiration	406		
nitrification	fumarate respiration	486		
nitrification	intracellular parasites	0		
nitrification	chlorate reducers	2		
nitrification	predatory or exoparasitic	1		
nitrification	anoxygenic photoautotrophy H2 oxidizing	455		
nitrification	anoxygenic photoautotrophy S oxidizing	472		
nitrification	anoxygenic photoautotrophy Fe oxidizing	429		
nitrification	anoxygenic photoautotrophy	476		
nitrification	oxygenic photoautotrophy	1730		
nitrification	photoautotrophy	484		
nitrification	aerobic anoxygenic phototrophy	1660		
nitrification	photoheterotrophy	454		
nitrification	phototrophy	474		
nitrification	plastic degradation	10		
nitrification	reductive acetogenesis	146		
nitrification	acetate oxidation	575		
nitrification	lactate oxidation	558		
nitrification	alginate degradation	10		
nitrification	pectin degradation	98		
nitrification	collagen degradation	10		
nitrification	anaerobic chemoheterotrophy	1209		
nitrification	obligate anaerobes	1683		
nitrification	facultative anaerobes	1677		
nitrification	sulfur reduction	640		
sulfate respiration	dark sulfite oxidation	283		
sulfate respiration	arsenate detoxification	77		
sulfate respiration	arsenate respiration	2353		
sulfate respiration	dissimilatory arsenate reduction	69		
sulfate respiration	arsenite oxidation detoxification	67		
sulfate respiration	arsenite oxidation energy yielding	107		
sulfate respiration	dissimilatory arsenite oxidation	35		
sulfate respiration	anammox	2016		
sulfate respiration	nitrate denitrification	3687		
sulfate respiration	nitrite denitrification	2662		
sulfate respiration	nitrous oxide denitrification	2126		
sulfate respiration	chitinolysis	685		
sulfate respiration	knallgas bacteria	652		
sulfate respiration	nitrogen fixation	182		
sulfate respiration	nitrate ammonification	2029		
sulfate respiration	nitrite ammonification	2013		
sulfate respiration	gelatin degradation	3536		
sulfate respiration	cellulolysis	1159		
sulfate respiration	xylanolysis	377		
sulfate respiration	dark sulfide oxidation	84		
sulfate respiration	dark sulfur oxidation	169		
sulfate respiration	dark thiosulfate oxidation	181		
sulfate respiration	dark oxidation of sulfur compounds	120		
sulfate respiration	manganese oxidation	112		
sulfate respiration	manganese respiration	2366		
sulfate respiration	ligninolysis	34		
sulfate respiration	lactic acid fermentation	2359		
sulfate respiration	alcohol fermentation	2306		
sulfate respiration	aerobic chemoheterotrophy	3805		
sulfate respiration	invertebrate parasites	29		
sulfate respiration	human pathogens septicemia	12		
sulfate respiration	human pathogens pneumonia	6		
sulfate respiration	human pathogens nosocomia	9		
sulfate respiration	human pathogens meningitis	6		
sulfate respiration	human pathogens gastroenteritis	9		
sulfate respiration	human pathogens diarrhea	6		
sulfate respiration	human pathogens all	84		
sulfate respiration	fish parasites	11		
sulfate respiration	human gut	69		
sulfate respiration	human associated	235		
sulfate respiration	mammal gut	121		
sulfate respiration	animal parasites or symbionts	275		
sulfate respiration	plant pathogen	81		
sulfate respiration	oil bioremediation	61		
sulfate respiration	aromatic hydrocarbon degradation	146		
sulfate respiration	aromatic compound degradation	533		
sulfate respiration	aliphatic non methane hydrocarbon degradation	121		
sulfate respiration	hydrocarbon degradation	207		
sulfate respiration	dark iron oxidation	67		
sulfate respiration	iron oxidation	62		
sulfate respiration	intracellular parasites	5		
sulfate respiration	chlorate reducers	18		
sulfate respiration	predatory or exoparasitic	4		
sulfate respiration	anoxygenic photoautotrophy H2 oxidizing	791		
sulfate respiration	anoxygenic photoautotrophy S oxidizing	809		
sulfate respiration	anoxygenic photoautotrophy Fe oxidizing	772		
sulfate respiration	anoxygenic photoautotrophy	812		
sulfate respiration	oxygenic photoautotrophy	4906		
sulfate respiration	photoautotrophy	832		
sulfate respiration	aerobic anoxygenic phototrophy	1290		
sulfate respiration	photoheterotrophy	791		
sulfate respiration	phototrophy	823		
sulfate respiration	plastic degradation	96		
sulfate respiration	ureolysis	3186		
sulfate respiration	alginate degradation	193		
sulfate respiration	pectin degradation	266		
sulfate respiration	collagen degradation	66		
sulfate respiration	facultative anaerobes	3380		
sulfur respiration	dark sulfite oxidation	274		
sulfur respiration	arsenate detoxification	78		
sulfur respiration	arsenite oxidation detoxification	67		
sulfur respiration	arsenite oxidation energy yielding	120		
sulfur respiration	dissimilatory arsenite oxidation	35		
sulfur respiration	anammox	2047		
sulfur respiration	nitrite denitrification	2674		
sulfur respiration	nitrous oxide denitrification	2145		
sulfur respiration	chitinolysis	695		
sulfur respiration	knallgas bacteria	641		
sulfur respiration	nitrogen fixation	187		
sulfur respiration	cellulolysis	1145		
sulfur respiration	dark sulfide oxidation	92		
sulfur respiration	dark thiosulfate oxidation	200		
sulfur respiration	manganese oxidation	128		
sulfur respiration	ligninolysis	38		
sulfur respiration	invertebrate parasites	32		
sulfur respiration	human pathogens septicemia	14		
sulfur respiration	human pathogens pneumonia	6		
sulfur respiration	human pathogens nosocomia	9		
sulfur respiration	human pathogens meningitis	11		
sulfur respiration	human pathogens gastroenteritis	9		
sulfur respiration	human pathogens diarrhea	6		
sulfur respiration	human pathogens all	98		
sulfur respiration	fish parasites	11		
sulfur respiration	human gut	74		
sulfur respiration	human associated	251		
sulfur respiration	mammal gut	125		
sulfur respiration	animal parasites or symbionts	288		
sulfur respiration	plant pathogen	88		
sulfur respiration	oil bioremediation	64		
sulfur respiration	aromatic hydrocarbon degradation	150		
sulfur respiration	aliphatic non methane hydrocarbon degradation	119		
sulfur respiration	hydrocarbon degradation	207		
sulfur respiration	dark iron oxidation	77		
sulfur respiration	iron oxidation	72		
sulfur respiration	intracellular parasites	6		
sulfur respiration	chlorate reducers	13		
sulfur respiration	predatory or exoparasitic	4		
sulfur respiration	anoxygenic photoautotrophy H2 oxidizing	824		
sulfur respiration	anoxygenic photoautotrophy S oxidizing	840		
sulfur respiration	anoxygenic photoautotrophy Fe oxidizing	803		
sulfur respiration	anoxygenic photoautotrophy	844		
sulfur respiration	oxygenic photoautotrophy	4971		
sulfur respiration	photoautotrophy	864		
sulfur respiration	aerobic anoxygenic phototrophy	1281		
sulfur respiration	photoheterotrophy	811		
sulfur respiration	phototrophy	842		
sulfur respiration	plastic degradation	96		
sulfur respiration	ureolysis	3223		
sulfur respiration	alginate degradation	198		
sulfur respiration	pectin degradation	258		
sulfur respiration	collagen degradation	65		
dark sulfite oxidation	sulfite respiration	253		
dark sulfite oxidation	thiosulfate respiration	283		
dark sulfite oxidation	respiration of sulfur compounds	279		
dark sulfite oxidation	arsenate detoxification	55		
dark sulfite oxidation	arsenate respiration	176		
dark sulfite oxidation	dissimilatory arsenate reduction	52		
dark sulfite oxidation	arsenite oxidation detoxification	86		
dark sulfite oxidation	arsenite oxidation energy yielding	59		
dark sulfite oxidation	dissimilatory arsenite oxidation	53		
dark sulfite oxidation	anammox	117		
dark sulfite oxidation	nitrate denitrification	206		
dark sulfite oxidation	nitrite denitrification	144		
dark sulfite oxidation	nitrous oxide denitrification	115		
dark sulfite oxidation	chitinolysis	47		
dark sulfite oxidation	knallgas bacteria	74		
dark sulfite oxidation	dark hydrogen oxidation	179		
dark sulfite oxidation	nitrogen fixation	52		
dark sulfite oxidation	nitrate ammonification	135		
dark sulfite oxidation	nitrite ammonification	121		
dark sulfite oxidation	nitrite respiration	154		
dark sulfite oxidation	gelatin degradation	185		
dark sulfite oxidation	cellulolysis	72		
dark sulfite oxidation	xylanolysis	24		
dark sulfite oxidation	dark sulfide oxidation	170		
dark sulfite oxidation	manganese oxidation	60		
dark sulfite oxidation	manganese respiration	130		
dark sulfite oxidation	ligninolysis	18		
dark sulfite oxidation	fermentation	252		
dark sulfite oxidation	lactic acid fermentation	189		
dark sulfite oxidation	alcohol fermentation	149		
dark sulfite oxidation	invertebrate parasites	2		
dark sulfite oxidation	human pathogens septicemia	2		
dark sulfite oxidation	human pathogens pneumonia	0		
dark sulfite oxidation	human pathogens nosocomia	0		
dark sulfite oxidation	human pathogens meningitis	0		
dark sulfite oxidation	human pathogens gastroenteritis	1		
dark sulfite oxidation	human pathogens diarrhea	0		
dark sulfite oxidation	human pathogens all	5		
dark sulfite oxidation	fish parasites	0		
dark sulfite oxidation	human gut	12		
dark sulfite oxidation	human associated	23		
dark sulfite oxidation	mammal gut	16		
dark sulfite oxidation	animal parasites or symbionts	25		
dark sulfite oxidation	plant pathogen	11		
dark sulfite oxidation	oil bioremediation	4		
dark sulfite oxidation	aromatic hydrocarbon degradation	8		
dark sulfite oxidation	aromatic compound degradation	54		
dark sulfite oxidation	aliphatic non methane hydrocarbon degradation	0		
dark sulfite oxidation	hydrocarbon degradation	7		
dark sulfite oxidation	dark iron oxidation	125		
dark sulfite oxidation	iron oxidation	58		
dark sulfite oxidation	iron respiration	149		
dark sulfite oxidation	nitrate respiration	217		
dark sulfite oxidation	nitrogen respiration	153		
dark sulfite oxidation	fumarate respiration	147		
dark sulfite oxidation	intracellular parasites	0		
dark sulfite oxidation	chlorate reducers	4		
dark sulfite oxidation	predatory or exoparasitic	1		
dark sulfite oxidation	anoxygenic photoautotrophy H2 oxidizing	153		
dark sulfite oxidation	anoxygenic photoautotrophy S oxidizing	167		
dark sulfite oxidation	anoxygenic photoautotrophy Fe oxidizing	144		
dark sulfite oxidation	anoxygenic photoautotrophy	167		
dark sulfite oxidation	oxygenic photoautotrophy	398		
dark sulfite oxidation	photoautotrophy	168		
dark sulfite oxidation	aerobic anoxygenic phototrophy	188		
dark sulfite oxidation	photoheterotrophy	147		
dark sulfite oxidation	phototrophy	167		
dark sulfite oxidation	plastic degradation	18		
dark sulfite oxidation	ureolysis	184		
dark sulfite oxidation	reductive acetogenesis	110		
dark sulfite oxidation	acetate oxidation	135		
dark sulfite oxidation	lactate oxidation	94		
dark sulfite oxidation	alginate degradation	7		
dark sulfite oxidation	pectin degradation	13		
dark sulfite oxidation	collagen degradation	17		
dark sulfite oxidation	anaerobic chemoheterotrophy	255		
dark sulfite oxidation	obligate anaerobes	310		
dark sulfite oxidation	facultative anaerobes	273		
dark sulfite oxidation	sulfur reduction	219		
sulfite respiration	arsenate detoxification	147		
sulfite respiration	arsenate respiration	3408		
sulfite respiration	dissimilatory arsenate reduction	69		
sulfite respiration	arsenite oxidation detoxification	68		
sulfite respiration	arsenite oxidation energy yielding	184		
sulfite respiration	dissimilatory arsenite oxidation	37		
sulfite respiration	anammox	3108		
sulfite respiration	nitrate denitrification	4730		
sulfite respiration	nitrite denitrification	3783		
sulfite respiration	nitrous oxide denitrification	3245		
sulfite respiration	chitinolysis	907		
sulfite respiration	knallgas bacteria	569		
sulfite respiration	nitrogen fixation	223		
sulfite respiration	nitrate ammonification	3147		
sulfite respiration	nitrite ammonification	3136		
sulfite respiration	gelatin degradation	4272		
sulfite respiration	cellulolysis	1358		
sulfite respiration	xylanolysis	472		
sulfite respiration	dark sulfide oxidation	99		
sulfite respiration	dark sulfur oxidation	262		
sulfite respiration	dark thiosulfate oxidation	288		
sulfite respiration	dark oxidation of sulfur compounds	152		
sulfite respiration	manganese oxidation	186		
sulfite respiration	manganese respiration	3400		
sulfite respiration	ligninolysis	39		
sulfite respiration	lactic acid fermentation	3359		
sulfite respiration	alcohol fermentation	3301		
sulfite respiration	aerobic chemoheterotrophy	4399		
sulfite respiration	invertebrate parasites	30		
sulfite respiration	human pathogens septicemia	12		
sulfite respiration	human pathogens pneumonia	8		
sulfite respiration	human pathogens nosocomia	9		
sulfite respiration	human pathogens meningitis	6		
sulfite respiration	human pathogens gastroenteritis	9		
sulfite respiration	human pathogens diarrhea	6		
sulfite respiration	human pathogens all	113		
sulfite respiration	fish parasites	11		
sulfite respiration	human gut	67		
sulfite respiration	human associated	275		
sulfite respiration	mammal gut	116		
sulfite respiration	animal parasites or symbionts	288		
sulfite respiration	plant pathogen	93		
sulfite respiration	oil bioremediation	64		
sulfite respiration	aromatic hydrocarbon degradation	211		
sulfite respiration	aromatic compound degradation	640		
sulfite respiration	aliphatic non methane hydrocarbon degradation	143		
sulfite respiration	hydrocarbon degradation	257		
sulfite respiration	dark iron oxidation	79		
sulfite respiration	iron oxidation	74		
sulfite respiration	intracellular parasites	7		
sulfite respiration	chlorate reducers	14		
sulfite respiration	predatory or exoparasitic	9		
sulfite respiration	anoxygenic photoautotrophy H2 oxidizing	1041		
sulfite respiration	anoxygenic photoautotrophy S oxidizing	1056		
sulfite respiration	anoxygenic photoautotrophy Fe oxidizing	1022		
sulfite respiration	anoxygenic photoautotrophy	1059		
sulfite respiration	oxygenic photoautotrophy	5862		
sulfite respiration	photoautotrophy	1080		
sulfite respiration	aerobic anoxygenic phototrophy	1445		
sulfite respiration	photoheterotrophy	1024		
sulfite respiration	phototrophy	1049		
sulfite respiration	plastic degradation	107		
sulfite respiration	ureolysis	3707		
sulfite respiration	alginate degradation	278		
sulfite respiration	pectin degradation	312		
sulfite respiration	collagen degradation	87		
sulfite respiration	facultative anaerobes	4372		
thiosulfate respiration	arsenate detoxification	145		
thiosulfate respiration	arsenite oxidation detoxification	67		
thiosulfate respiration	arsenite oxidation energy yielding	191		
thiosulfate respiration	dissimilatory arsenite oxidation	36		
thiosulfate respiration	anammox	3117		
thiosulfate respiration	nitrite denitrification	3826		
thiosulfate respiration	nitrous oxide denitrification	3273		
thiosulfate respiration	chitinolysis	923		
thiosulfate respiration	knallgas bacteria	653		
thiosulfate respiration	nitrogen fixation	233		
thiosulfate respiration	cellulolysis	1391		
thiosulfate respiration	dark sulfide oxidation	110		
thiosulfate respiration	dark thiosulfate oxidation	302		
thiosulfate respiration	manganese oxidation	193		
thiosulfate respiration	ligninolysis	39		
thiosulfate respiration	invertebrate parasites	30		
thiosulfate respiration	human pathogens septicemia	15		
thiosulfate respiration	human pathogens pneumonia	8		
thiosulfate respiration	human pathogens nosocomia	9		
thiosulfate respiration	human pathogens meningitis	6		
thiosulfate respiration	human pathogens gastroenteritis	10		
thiosulfate respiration	human pathogens diarrhea	6		
thiosulfate respiration	human pathogens all	123		
thiosulfate respiration	fish parasites	11		
thiosulfate respiration	human gut	70		
thiosulfate respiration	human associated	287		
thiosulfate respiration	mammal gut	124		
thiosulfate respiration	animal parasites or symbionts	311		
thiosulfate respiration	plant pathogen	103		
thiosulfate respiration	oil bioremediation	66		
thiosulfate respiration	aromatic hydrocarbon degradation	218		
thiosulfate respiration	aliphatic non methane hydrocarbon degradation	146		
thiosulfate respiration	hydrocarbon degradation	264		
thiosulfate respiration	dark iron oxidation	85		
thiosulfate respiration	iron oxidation	83		
thiosulfate respiration	intracellular parasites	7		
thiosulfate respiration	chlorate reducers	14		
thiosulfate respiration	predatory or exoparasitic	9		
thiosulfate respiration	anoxygenic photoautotrophy H2 oxidizing	1066		
thiosulfate respiration	anoxygenic photoautotrophy S oxidizing	1081		
thiosulfate respiration	anoxygenic photoautotrophy Fe oxidizing	1044		
thiosulfate respiration	anoxygenic photoautotrophy	1086		
thiosulfate respiration	oxygenic photoautotrophy	6127		
thiosulfate respiration	photoautotrophy	1111		
thiosulfate respiration	aerobic anoxygenic phototrophy	1546		
thiosulfate respiration	photoheterotrophy	1058		
thiosulfate respiration	phototrophy	1082		
thiosulfate respiration	plastic degradation	113		
thiosulfate respiration	ureolysis	3831		
thiosulfate respiration	alginate degradation	284		
thiosulfate respiration	pectin degradation	321		
thiosulfate respiration	collagen degradation	88		
respiration of sulfur compounds	arsenate detoxification	147		
respiration of sulfur compounds	arsenite oxidation detoxification	68		
respiration of sulfur compounds	arsenite oxidation energy yielding	186		
respiration of sulfur compounds	dissimilatory arsenite oxidation	37		
respiration of sulfur compounds	anammox	3114		
respiration of sulfur compounds	nitrous oxide denitrification	3254		
respiration of sulfur compounds	chitinolysis	926		
respiration of sulfur compounds	knallgas bacteria	601		
respiration of sulfur compounds	cellulolysis	1377		
respiration of sulfur compounds	dark sulfide oxidation	104		
respiration of sulfur compounds	dark thiosulfate oxidation	290		
respiration of sulfur compounds	manganese oxidation	188		
respiration of sulfur compounds	ligninolysis	40		
respiration of sulfur compounds	invertebrate parasites	30		
respiration of sulfur compounds	human pathogens septicemia	14		
respiration of sulfur compounds	human pathogens pneumonia	8		
respiration of sulfur compounds	human pathogens nosocomia	9		
respiration of sulfur compounds	human pathogens meningitis	7		
respiration of sulfur compounds	human pathogens gastroenteritis	12		
respiration of sulfur compounds	human pathogens diarrhea	6		
respiration of sulfur compounds	human pathogens all	121		
respiration of sulfur compounds	fish parasites	11		
respiration of sulfur compounds	human gut	75		
respiration of sulfur compounds	human associated	293		
respiration of sulfur compounds	mammal gut	125		
respiration of sulfur compounds	animal parasites or symbionts	305		
respiration of sulfur compounds	plant pathogen	106		
respiration of sulfur compounds	oil bioremediation	68		
respiration of sulfur compounds	aromatic hydrocarbon degradation	244		
respiration of sulfur compounds	aliphatic non methane hydrocarbon degradation	144		
respiration of sulfur compounds	hydrocarbon degradation	272		
respiration of sulfur compounds	dark iron oxidation	83		
respiration of sulfur compounds	iron oxidation	79		
respiration of sulfur compounds	intracellular parasites	7		
respiration of sulfur compounds	chlorate reducers	15		
respiration of sulfur compounds	predatory or exoparasitic	9		
respiration of sulfur compounds	anoxygenic photoautotrophy H2 oxidizing	1066		
respiration of sulfur compounds	anoxygenic photoautotrophy S oxidizing	1082		
respiration of sulfur compounds	anoxygenic photoautotrophy Fe oxidizing	1047		
respiration of sulfur compounds	anoxygenic photoautotrophy	1085		
respiration of sulfur compounds	oxygenic photoautotrophy	6023		
respiration of sulfur compounds	photoautotrophy	1106		
respiration of sulfur compounds	aerobic anoxygenic phototrophy	1484		
respiration of sulfur compounds	photoheterotrophy	1047		
respiration of sulfur compounds	phototrophy	1067		
respiration of sulfur compounds	plastic degradation	109		
respiration of sulfur compounds	alginate degradation	286		
respiration of sulfur compounds	collagen degradation	86		
arsenate detoxification	arsenate respiration	59		
arsenate detoxification	dissimilatory arsenate reduction	60		
arsenate detoxification	arsenite oxidation detoxification	52		
arsenate detoxification	arsenite oxidation energy yielding	11		
arsenate detoxification	dissimilatory arsenite oxidation	2		
arsenate detoxification	anammox	97		
arsenate detoxification	nitrate denitrification	112		
arsenate detoxification	nitrite denitrification	100		
arsenate detoxification	nitrous oxide denitrification	95		
arsenate detoxification	chitinolysis	11		
arsenate detoxification	knallgas bacteria	55		
arsenate detoxification	dark hydrogen oxidation	33		
arsenate detoxification	nitrogen fixation	7		
arsenate detoxification	nitrate ammonification	99		
arsenate detoxification	nitrite ammonification	98		
arsenate detoxification	nitrite respiration	104		
arsenate detoxification	gelatin degradation	64		
arsenate detoxification	cellulolysis	15		
arsenate detoxification	xylanolysis	11		
arsenate detoxification	dark sulfide oxidation	20		
arsenate detoxification	dark sulfur oxidation	32		
arsenate detoxification	dark thiosulfate oxidation	34		
arsenate detoxification	dark oxidation of sulfur compounds	25		
arsenate detoxification	manganese oxidation	9		
arsenate detoxification	manganese respiration	14		
arsenate detoxification	ligninolysis	1		
arsenate detoxification	fermentation	121		
arsenate detoxification	lactic acid fermentation	103		
arsenate detoxification	alcohol fermentation	103		
arsenate detoxification	aerobic chemoheterotrophy	131		
arsenate detoxification	invertebrate parasites	1		
arsenate detoxification	human pathogens septicemia	0		
arsenate detoxification	human pathogens pneumonia	0		
arsenate detoxification	human pathogens nosocomia	0		
arsenate detoxification	human pathogens meningitis	0		
arsenate detoxification	human pathogens gastroenteritis	0		
arsenate detoxification	human pathogens diarrhea	0		
arsenate detoxification	human pathogens all	1		
arsenate detoxification	fish parasites	0		
arsenate detoxification	human gut	0		
arsenate detoxification	human associated	2		
arsenate detoxification	mammal gut	1		
arsenate detoxification	animal parasites or symbionts	1		
arsenate detoxification	plant pathogen	3		
arsenate detoxification	oil bioremediation	2		
arsenate detoxification	aromatic hydrocarbon degradation	4		
arsenate detoxification	aromatic compound degradation	6		
arsenate detoxification	aliphatic non methane hydrocarbon degradation	4		
arsenate detoxification	hydrocarbon degradation	4		
arsenate detoxification	dark iron oxidation	22		
arsenate detoxification	iron oxidation	9		
arsenate detoxification	iron respiration	104		
arsenate detoxification	nitrate respiration	117		
arsenate detoxification	nitrate reduction	89		
arsenate detoxification	nitrogen respiration	103		
arsenate detoxification	fumarate respiration	105		
arsenate detoxification	intracellular parasites	0		
arsenate detoxification	chlorate reducers	3		
arsenate detoxification	predatory or exoparasitic	1		
arsenate detoxification	anoxygenic photoautotrophy H2 oxidizing	118		
arsenate detoxification	anoxygenic photoautotrophy S oxidizing	124		
arsenate detoxification	anoxygenic photoautotrophy Fe oxidizing	111		
arsenate detoxification	anoxygenic photoautotrophy	124		
arsenate detoxification	oxygenic photoautotrophy	151		
arsenate detoxification	photoautotrophy	124		
arsenate detoxification	aerobic anoxygenic phototrophy	140		
arsenate detoxification	photoheterotrophy	108		
arsenate detoxification	phototrophy	120		
arsenate detoxification	plastic degradation	3		
arsenate detoxification	ureolysis	59		
arsenate detoxification	reductive acetogenesis	4		
